Term;Definition
Paneling;Wood cladding for walls or ceilings, often with decorative features
Solid wood;Wood made from a continuous piece of timber, not engineered or layered
Veneer;Thin layer of wood glued onto a carrier material (e.g. MDF)
MDF;Medium-density fiberboard, dimensionally stable and used as a substrate
Molding;Shaped trim used for decoration or edge finishing of paneling
Cornice;Pronounced horizontal molding at the top of a wall or paneling
Stile;Narrow vertical strip used to divide or structure paneling fields
Casing;Framing element around a door or wall panel
Edge strip;Trim or covering piece to hide raw edges or joins
Mounting clip;Hidden fastening element used for invisible installation
Chamfer;Beveled edge for decorative or structural reasons
Floor plan;Scaled drawing of a room from above
Visualization;3D model showing planned paneling in a room context
Deposit;Partial payment to confirm order before production starts
Running meter;Unit of length used for cost estimation and quoting
